Gender,City Pop,Age,Transaction Mean,Count,Coefficient of Var of Transaction Amt,Entertainment,Food Dining,Gas Transport,Health Fitness,Home,Kids Pets,Personal Care,Travel,Grocery,Misc,Shopping,Spending Distribution Difference from Median,2016 population estimate,Adjusted gross income reported on itemized returns,"Average earnings per worker growth, 2001-2016",Charitable Giving and Civil Society,Civilian population aged 25 and up,Creative Class Occupations and Creative Industries,Crime,Farmers' markets per capita,Food Access,Full-Time Work,Grocery stores per capita,Industry Mix,Intensity of volunteerism,Interval measure of number of organizations at which one volunteers  ,Interval measure of volunteer hours  ,Itemized contributions as share of total adjusted gross income,"Jobs, Earnings, and Productivity",Literacy and Education,Net migration rate,"Per capita income growth, 2001-2016",Percent of adults that are obese,Percent of adults that have diabetes,Percent of civilian population aged 18-64 that is insured,Percent of population that has low access to grocery stores,Percent of population with at least a bachelor's degree,Percent of population with high school diploma or equivalent,Percent of returns with itemized deductions,Percent of returns with professional or business income,Percent of returns with salaries and wages,Percent of returns with self-emp. retirement plans,Percent of returns with taxable Social Security benefits,Percent of the population 25 and above that have completed more than 8th grade,Percent of working-age population that works full-time (35+ hours/week) year-round,Poor mental health days per month,Poor physical health days per month,"Property crime events per 1,000 population","QCEW emp., 2001-2016 Average  ","QCEW emp., 2016  ",Rate Working Outside County of Residence  ,Rate Working in County of Residence  ,Reported instances of violent crime  ,Residential stability,Share of emp. in the 2nd-largest traded industry  ,Share of emp. in the 3rd-largest traded industry  ,Share of emp. in the 4th-largest traded industry  ,Share of emp. in the 5th-largest traded industry  ,Share of emp. in the largest traded industry  ,Suicide rate,Total civilian population aged 18-64,"Violent crime events per 1,000 population",Worked Outside County of Residence  ,Worked in County of Residence  ,Years of potential life lost to premature death (age-adjusted),"JobCat_Arts, Entertainment, and Media",JobCat_Education and Research,"JobCat_Finance, Insurance, and Business Services",JobCat_Healthcare and Social Assistance,"JobCat_Manufacturing, Construction, and Logistics","JobCat_Retail, Hospitality, and Customer Service",JobCat_Technology and Engineering
1,1645,33.86995209,56.02336627,1518,26843.73356,6.264114105,2.767937385,15.54691971,4.987966742,8.942121012,7.845305466,6.619214856,0.477614566,20.36296261,9.241944149,16.9438994,17.65553704,40683.0,760019.0,0.038826432,0.371499862,27023.0,0.301690525,0.962601643,0.147481749,0.62120856,0.635491651,0.196372027,0.518828558,78.33527045,1.437660668,112.6195373,0.038424039,0.487835261,0.664895743,-0.0004647,0.036321301,28.3,9.6,73.66274261,12.9299483,14.4921627,76.25754547,17.1538887,15.88527298,82.79095459,0.386100382,15.49917221,0.988528291,61.84440994,3.707266808,3.937214375,19.40775822,15806.50003,15540.99982,0.060931902,0.939068069,58.0,0.930248189,0.03620033,0.023617283,0.021635341,0.086672238,0.039473876,0.472143532,23294.0,1.415911921,1071.0,16506.0,12763.33398,False,False,True,False,False,False,False
0,46944,77.74948665,69.0007838,1531,15280.38474,6.491345151,9.343488558,9.581305223,4.437127154,9.66837435,11.19077775,5.714216747,0.472462188,16.23224871,9.538149303,17.33050486,18.77449297,26388.0,529317.0,0.018291185,0.481546008,18936.0,0.39890784,0.96887308,0.075792027,0.634994059,0.54021684,0.112896549,0.462880527,108.6296296,1.317073171,143.0731707,0.05308728,0.353867817,0.610341259,0.0224858,0.027744429,32.7,14.1,84.13261414,8.727024109,11.96662426,78.82983398,23.45090485,15.34794998,83.98474884,0.190657765,14.87130642,0.956379383,53.35285187,4.022841454,3.886111021,16.16016349,6111.187494,5608.999978,0.579878273,0.420121727,31.0,0.917794123,0.053763751,0.022408247,0.021782819,0.079557104,0.086437499,0.151756582,14659.0,1.1732203,6098.0,4418.0,7952.268555,False,True,False,False,False,False,False
0,83,61.42915811,115.0463333,510,1257910.704,3.90325262,3.832505335,6.206314489,2.912313419,3.160363523,4.673121469,3.513759077,46.4391414,9.15767441,4.453891808,11.74766245,85.64826666,5784.0,235836.0,0.047553983,0.487190538,4286.0,0.264260334,0.984160578,0.0,0.401808058,0.54129155,0.350692618,0.478673766,74.58632479,1.654411765,123.3964932,0.047452467,0.575997476,0.665785964,0.031627599,0.056330886,36.0,13.2,80.71140289,57.62285451,14.74803543,80.34681702,24.1860466,21.860466,76.27906799,0.0,18.6046505,0.975968269,53.14834595,4.054271698,3.978186846,7.446268404,1378.249999,1492.000001,0.334405136,0.665594864,7.0,0.888135003,0.029086092,0.020415308,0.019844994,0.075968094,0.0675558,0.171614896,2727.0,1.18463361,728.0,1449.0,6114.976074,False,False,True,False,False,False,False
0,2142,43.50444901,111.9878977,528,18339.43109,5.048722628,2.584153692,3.52026675,4.314200618,8.114513186,3.792194807,2.627482238,18.13747799,15.15536801,9.890865169,26.81475491,45.0828765,11626.0,221584.0,0.017128196,0.480755305,7735.0,0.20766502,0.969895631,0.0,0.484306512,0.66970212,0.17208742,0.560052642,96.53133274,1.469520104,141.8547341,0.04875352,0.380158782,0.631330138,0.0118448,0.037680693,40.6,12.6,83.87875366,38.76449645,13.4013958,74.76851654,21.59827232,18.79049683,79.48164368,0.0,14.47084236,0.976341306,60.19936371,4.336987019,4.057296753,13.06464008,2195.875003,1887.000001,0.512889252,0.487110748,36.0,0.944980443,0.042004466,0.028146096,0.019824004,0.074952835,0.046199918,0.174718267,6631.0,3.07403296,2487.0,2362.0,11568.67383,False,False,False,True,False,False,False
0,233060,47.37850787,50.72602823,496,8546.752716,5.945284023,7.489871865,14.45919752,9.025675961,8.708388,10.49772835,3.249588336,0.352939633,20.02284569,12.29267281,7.955807824,32.62854535,244596.0,5689479.0,0.024114626,0.5855241,154494.0,0.36322919,0.888568931,0.020441871,0.583362999,0.564913807,0.142066211,0.60600177,99.79552716,1.497607656,149.4545455,0.067001741,0.320795416,0.693475586,-0.0140748,0.025995186,34.9,12.4,78.26360321,26.33040775,16.54883957,84.53923035,25.60601807,20.69285774,84.67539978,0.473669559,10.94083786,0.979785623,55.24860764,4.181426525,4.062897682,53.21560285,125574.0625,121017.9981,0.327785301,0.672214737,1659.0,0.953784854,0.02203,0.012673051,0.011382684,0.18401806,0.026918374,0.103635964,152822.0,7.705741916,33893.0,69507.0,10389.42969,False,False,False,False,True,False,False
1,222,56.62149213,72.80340594,1010,22278.98993,5.038593015,3.75035495,12.75397299,4.157826911,5.248244832,6.800655611,4.929986411,0.221388293,20.15597682,15.43843015,21.50457002,18.17695794,9781.0,107538.0,0.044972725,0.524704664,6939.0,0.333250559,0.966075141,0.102239035,0.469216212,0.274911444,0.098512462,0.56727448,80.29518072,1.652916074,132.7211949,0.057923711,0.373302289,0.537051868,-0.041728199,0.032717567,35.7,13.1,75.97457886,47.38438275,4.251070023,89.7526474,15.06849289,22.94520569,81.16438293,0.0,12.67123318,0.93817553,38.42021942,5.065808773,5.450628757,16.23638564,2148.000001,1969.999994,0.467427292,0.532572708,23.0,0.942664593,0.039914794,0.02972823,0.02189878,0.1741535,0.063443482,0.214822771,4720.0,2.319483663,1270.0,1447.0,10374.68066,False,False,False,False,False,False,True
0,1263321,77.10335387,56.99554054,518,7492.213498,8.661349581,10.43951484,11.81783171,3.479917314,14.26027709,11.7851461,8.227934923,0.289767302,14.79770991,7.716413497,8.524137735,42.91894725,2513054.0,100471838.0,0.024981329,0.380015084,1590088.0,0.421029178,0.93262057,0.004377144,0.57839043,0.701425559,0.158027361,0.620057664,86.19598394,1.411564626,121.6712018,0.044024038,0.387816566,0.656070566,-0.0104543,0.026639733,27.6,9.1,69.21910095,15.84147257,18.5340004,81.1633606,22.0106945,21.65225029,85.9704361,0.650478482,7.721452236,0.940656744,63.06468582,3.528078079,3.450140238,32.48250309,1486386.127,1651334.002,0.172779179,0.82722084,11189.0,0.94436257,0.034556374,0.02700818,0.022280978,0.098113783,0.063287206,0.102136557,1579681.0,4.429252304,207212.0,992076.0,6827.080566,False,False,False,False,False,False,True
0,308,61.28131417,67.81626684,1559,58321.86519,6.866088011,3.759715248,13.11772669,5.410300026,5.249638782,7.696190023,5.851527294,9.970985257,19.02844497,8.1871782,14.86220551,25.67295828,43668.0,814138.0,0.026382565,0.330412347,31725.0,0.377088093,0.963641152,0.160300449,0.634071325,0.376256353,0.429271819,0.580840108,98.08764706,1.480191554,145.1885067,0.0340925,0.353544286,0.713251112,-0.0106535,0.032379832,23.2,8.6,85.41498566,20.25223108,16.18383217,86.30603027,23.26444054,19.44886017,71.64811707,0.476947546,19.44886017,0.979353822,46.38756561,4.24932909,4.088932991,16.54781496,13647.56251,13672.00003,0.065757766,0.934242249,137.0,0.944850222,0.029968274,0.025012072,0.024140824,0.112990684,0.046497352,0.344013027,24772.0,3.131285427,1037.0,14733.0,9534.135742,False,False,False,False,False,True,False
0,172247,78.48870637,618.3175,8,28610.26254,0.0,0.0,0.159707594,0.0,0.0,0.0,0.0,0.0,19.08950499,0.0,80.75078742,121.2156323,939548.0,30041383.0,0.028795686,0.312355216,712289.0,0.438078449,0.92381463,0.013836441,0.607193427,0.630695833,0.209722928,0.590132239,112.4077079,1.454277286,163.4719764,0.035127411,0.40096244,0.730368889,0.0027941,0.025954995,25.5,10.8,79.67476654,14.09324306,18.5850544,85.56555176,20.80485725,15.60682583,77.55444336,0.396909624,17.00556183,0.98493589,58.74628067,4.04409647,3.866061449,36.66140586,413775.2492,417989.9987,0.139688148,0.86031189,4753.0,0.938936144,0.037416767,0.029719643,0.022808958,0.148633295,0.0505054,0.221706411,559167.0,5.058250226,59243.0,364866.0,7429.253906,False,False,False,False,False,True,False
1,602,61.18275154,71.9255534,515,28616.90678,6.231416195,2.726389692,13.61137703,5.300815352,6.079182196,6.914646914,5.258430643,0.291158658,20.02310372,15.81430206,17.74917755,16.85011649,35977.0,570468.0,0.026998146,0.453122805,23421.0,0.493366571,0.939285454,0.055591072,0.511257167,0.597566752,0.138117732,0.650994754,70.22885572,1.579912664,110.9554585,0.045394308,0.406655183,0.695199734,0.0233116,0.029728685,36.0,11.2,83.21082306,31.65462651,12.66854382,86.46222687,17.94871712,13.71794891,81.60256195,0.320512831,16.41025734,0.983476367,58.55646515,3.555778265,3.493773699,30.55524207,14362.99998,14147.00005,0.190976276,0.809023743,107.0,0.91040438,0.056446124,0.037626736,0.022317728,0.10271587,0.058280189,0.195787766,20406.0,3.018846631,2946.0,12480.0,9354.263672,False,False,False,False,True,False,False
